Date,Open,High,Low,Close,Volume
2023-09-08 22:00:00,25877.4,25900.4,25877.4,25893.7,536.675
2023-09-08 23:00:00,25893.7,25928.9,25885.7,25896.9,723.761
2023-09-09 00:00:00,25896.9,25897.0,25846.2,25851.9,795.726
2023-09-09 01:00:00,25851.9,25882.0,25846.6,25855.2,536.657
2023-09-09 02:00:00,25855.2,25878.3,25835.5,25874.9,646.333
2023-09-09 03:00:00,25874.9,25874.9,25855.3,25863.6,362.063
2023-09-09 04:00:00,25863.6,25865.0,25847.2,25857.4,452.496
2023-09-09 05:00:00,25857.4,25877.8,25819.5,25830.1,719.497
2023-09-09 06:00:00,25830.1,25868.8,25830.0,25868.7,382.475
2023-09-09 07:00:00,25868.7,25880.0,25858.0,25870.7,721.12
2023-09-09 08:00:00,25870.7,25892.3,25856.2,25860.0,988.893
2023-09-09 09:00:00,25860.0,25891.0,25860.0,25868.7,576.863
2023-09-09 10:00:00,25868.7,25879.7,25843.3,25854.9,655.167
2023-09-09 11:00:00,25854.9,25857.0,25835.4,25849.7,363.564
2023-09-09 12:00:00,25849.7,25854.7,25838.4,25838.5,406.475
2023-09-09 13:00:00,25838.5,25854.8,25784.8,25812.0,1830.07
2023-09-09 14:00:00,25812.0,25849.5,25812.0,25835.8,646.462
2023-09-09 15:00:00,25835.8,25912.0,25835.8,25880.3,2383.132
2023-09-09 16:00:00,25880.3,25939.8,25868.2,25880.3,1266.227
2023-09-09 17:00:00,25880.3,25894.0,25858.1,25866.7,577.58
2023-09-09 18:00:00,25866.7,25866.7,25836.0,25852.6,418.867
2023-09-09 19:00:00,25852.6,25866.2,25838.2,25857.9,385.471
2023-09-09 20:00:00,25857.9,25876.8,25845.0,25848.8,525.843
2023-09-09 21:00:00,25848.8,25890.1,25847.4,25877.5,652.486
2023-09-09 22:00:00,25877.5,25906.0,25867.4,25896.6,583.265
2023-09-09 23:00:00,25896.6,25904.0,25876.8,25889.7,372.565
2023-09-10 00:00:00,25889.7,25892.6,25850.2,25859.8,581.52
2023-09-10 01:00:00,25859.8,25859.9,25821.0,25840.0,901.651
2023-09-10 02:00:00,25840.0,25852.1,25829.0,25840.0,677.952
2023-09-10 03:00:00,25840.0,25864.0,25816.9,25849.5,914.352
2023-09-10 04:00:00,25849.5,25849.5,25735.0,25820.8,3894.033
2023-09-10 05:00:00,25820.8,25844.4,25794.1,25834.8,886.934
